endtime,currQr,prevQr,stationName,failureCode,tipoFalla,resultado,notes
2026-05-12 07:55:37.240,B1-070526-04-K14C44,B1-070526-04-K14C44,Black Box 2 SSR - RF Chamber BLE Test,TIT2-DATA-000,RF Chamber BLE Test,FAILED,"{""station"": ""Black Box 2 SSR - RF Chamber BLE Test"", ""work_order"": ""132841"", ""label_qr"": ""B1-070526-04-K14C44"", ""pcba_qr"": ""UNKNOWN"", ""mac_id"": ""00:96:12:1C:EE:94"", ""rssi_dbm"": -79, ""battery_voltage_v"": 4.2, ""rssi_pass_range"": ""-40 to -10 dBm"", ""battery_min_v"": 2.98, ""battery_max_v"": 3.3, ""test_result"": ""FAIL""}"
2026-05-12 07:56:56.977,B1-060526-04-K14A54,B1-060526-04-K14A54,Black Box 2 SSR - RF Chamber BLE Test,TIT2-BATT-000,RF Chamber BLE Test,FAILED,"{""station"": ""Black Box 2 SSR - RF Chamber BLE Test"", ""work_order"": ""132841"", ""label_qr"": ""B1-060526-04-K14A54"", ""pcba_qr"": ""TITANITE V2.0.3.2,002-P10,0426,0001438"", ""mac_id"": ""FA:80:C1:4A:CA:E2"", ""rssi_dbm"": -29, ""battery_voltage_v"": 25.5, ""rssi_pass_range"": ""-40 to -10 dBm"", ""battery_min_v"": 2.98, ""battery_max_v"": 3.3, ""test_result"": ""FAIL""}"
2026-05-12 07:59:02.943,B1-300426-04-K13504,B1-300426-04-K13504,Black Box 2 SSR - RF Chamber BLE Test,TIT2-BLE-000,RF Chamber BLE Test,FAILED,"{""station"": ""Black Box 2 SSR - RF Chamber BLE Test"", ""work_order"": ""132841"", ""label_qr"": ""B1-300426-04-K13504"", ""pcba_qr"": ""TITANITE V2.0.3.2,002-P10,5125,0000357"", ""mac_id"": ""F8:3E:F0:33:5B:83"", ""rssi_dbm"": -58, ""battery_voltage_v"": 3.2, ""rssi_pass_range"": ""-40 to -10 dBm"", ""battery_min_v"": 2.98, ""battery_max_v"": 3.3, ""test_result"": ""FAIL""}"
2026-05-12 07:59:42.973,B1-300426-04-K13504,B1-300426-04-K13504,Black Box 2 SSR - RF Chamber BLE Test,TIT2-BLE-000,RF Chamber BLE Test,FAILED,"{""station"": ""Black Box 2 SSR - RF Chamber BLE Test"", ""work_order"": ""132841"", ""label_qr"": ""B1-300426-04-K13504"", ""pcba_qr"": ""TITANITE V2.0.3.2,002-P10,5125,0000357"", ""mac_id"": ""F8:3E:F0:33:5B:83"", ""rssi_dbm"": -57, ""battery_voltage_v"": 3.2, ""rssi_pass_range"": ""-40 to -10 dBm"", ""battery_min_v"": 2.98, ""battery_max_v"": 3.3, ""test_result"": ""FAIL""}"
2026-05-12 08:00:26.950,B1-060526-04-K14A54,B1-060526-04-K14A54,Black Box 2 SSR - RF Chamber BLE Test,TIT2-BATT-000,RF Chamber BLE Test,FAILED,"{""station"": ""Black Box 2 SSR - RF Chamber BLE Test"", ""work_order"": ""132841"", ""label_qr"": ""B1-060526-04-K14A54"", ""pcba_qr"": ""TITANITE V2.0.3.2,002-P10,0426,0001438"", ""mac_id"": ""FA:80:C1:4A:CA:E2"", ""rssi_dbm"": -26, ""battery_voltage_v"": 25.5, ""rssi_pass_range"": ""-40 to -10 dBm"", ""battery_min_v"": 2.98, ""battery_max_v"": 3.3, ""test_result"": ""FAIL""}"
2026-05-12 08:02:46.940,B1-070526-04-K14C44,B1-070526-04-K14C44,Black Box 2 SSR - RF Chamber BLE Test,TIT2-DATA-000,RF Chamber BLE Test,FAILED,"{""station"": ""Black Box 2 SSR - RF Chamber BLE Test"", ""work_order"": ""132841"", ""label_qr"": ""B1-070526-04-K14C44"", ""pcba_qr"": ""UNKNOWN"", ""mac_id"": ""D8:18:53:1D:35:36"", ""rssi_dbm"": -35, ""battery_voltage_v"": 3.2, ""rssi_pass_range"": ""-40 to -10 dBm"", ""battery_min_v"": 2.98, ""battery_max_v"": 3.3, ""test_result"": ""FAIL""}"
2026-05-12 08:04:12.920,B1-300426-04-K13504,B1-300426-04-K13504,Black Box 2 SSR - RF Chamber BLE Test,TIT2-BLE-000,RF Chamber BLE Test,FAILED,"{""station"": ""Black Box 2 SSR - RF Chamber BLE Test"", ""work_order"": ""132841"", ""label_qr"": ""B1-300426-04-K13504"", ""pcba_qr"": ""TITANITE V2.0.3.2,002-P10,5125,0000357"", ""mac_id"": ""F8:3E:F0:33:5B:83"", ""rssi_dbm"": -69, ""battery_voltage_v"": 3.2, ""rssi_pass_range"": ""-40 to -10 dBm"", ""battery_min_v"": 2.98, ""battery_max_v"": 3.3, ""test_result"": ""FAIL""}"
2026-05-12 09:08:35.137,B1-060526-04-K14A54,B1-060526-04-K14A54,Black Box 2 SSR - RF Chamber BLE Test,TIT2-BATT-000,RF Chamber BLE Test,FAILED,"{""station"": ""Black Box 2 SSR - RF Chamber BLE Test"", ""work_order"": ""132841"", ""label_qr"": ""B1-060526-04-K14A54"", ""pcba_qr"": ""TITANITE V2.0.3.2,002-P10,0426,0001438"", ""mac_id"": ""FA:80:C1:4A:CA:E2"", ""rssi_dbm"": -25, ""battery_voltage_v"": 25.5, ""rssi_pass_range"": ""-40 to -10 dBm"", ""battery_min_v"": 2.98, ""battery_max_v"": 3.3, ""test_result"": ""FAIL""}"
2026-05-12 09:09:07.430,B1-300426-04-K13504,B1-300426-04-K13504,Black Box 2 SSR - RF Chamber BLE Test,TIT2-BLE-000,RF Chamber BLE Test,FAILED,"{""station"": ""Black Box 2 SSR - RF Chamber BLE Test"", ""work_order"": ""132841"", ""label_qr"": ""B1-300426-04-K13504"", ""pcba_qr"": ""TITANITE V2.0.3.2,002-P10,5125,0000357"", ""mac_id"": ""F8:3E:F0:33:5B:83"", ""rssi_dbm"": -58, ""battery_voltage_v"": 3.2, ""rssi_pass_range"": ""-40 to -10 dBm"", ""battery_min_v"": 2.98, ""battery_max_v"": 3.3, ""test_result"": ""FAIL""}"
2026-05-12 09:48:38.397,B1-300426-04-K13504,B1-300426-04-K13504,Black Box 2 SSR - RF Chamber BLE Test,TIT2-BLE-000,RF Chamber BLE Test,FAILED,"{""station"": ""Black Box 2 SSR - RF Chamber BLE Test"", ""work_order"": ""132841"", ""label_qr"": ""B1-300426-04-K13504"", ""pcba_qr"": ""TITANITE V2.0.3.2,002-P10,0426,0001841"", ""mac_id"": ""C0:66:D8:FE:54:B7"", ""rssi_dbm"": -41, ""battery_voltage_v"": 3.2, ""rssi_pass_range"": ""-40 to -10 dBm"", ""battery_min_v"": 2.98, ""battery_max_v"": 3.3, ""test_result"": ""FAIL""}"
2026-05-12 09:50:08.400,B1-300426-04-K13504,B1-300426-04-K13504,Black Box 2 SSR - RF Chamber BLE Test,TIT2-BLE-000,RF Chamber BLE Test,FAILED,"{""station"": ""Black Box 2 SSR - RF Chamber BLE Test"", ""work_order"": ""132841"", ""label_qr"": ""B1-300426-04-K13504"", ""pcba_qr"": ""TITANITE V2.0.3.2,002-P10,0426,0001841"", ""mac_id"": ""C0:66:D8:FE:54:B7"", ""rssi_dbm"": -42, ""battery_voltage_v"": 3.2, ""rssi_pass_range"": ""-40 to -10 dBm"", ""battery_min_v"": 2.98, ""battery_max_v"": 3.3, ""test_result"": ""FAIL""}"
